number,easychair,date,authors,title,advertisement,abstract,location
110,841,3/11/2020,J&eacute; r&eacute; mie Lumbroso; James Evans,Making manual code review scale,<p>Learn how to scale manual code review to improve student learning.</p>,"<p>Although personalized feedback is believed to improve student learning more than correctness tests alone, resource constraints make it difficult for many CS programs to provide personalized feedback on student programming work. This workshop discusses strategies for reducing the cost of code review, as well as pedagogical benefits that can be reaped once a course implements a robust code review process. We showcase the code review process implemented by Princeton's CS1 and CS2 courses which leverages codePost (https://codepost.io), and will teach participants to implement a similar process. </p>
<p>codePost is a tool that allows instructors to annotate code with comments, points, and rubrics in a GUI. Beyond code annotation, codePost also includes three classes of functionality that Princeton leverages to provide personalized feedback at scale. (1) Functionality to help instructors manage teams of reviewers by distributing unreviewed code and auditing their review quality. (2) Ways for students to provide ""feedback on feedback"", allowing quantification of student comprehension and uncovering learning breakdowns. (3) A RESTful API that enables instructors to programmatically read and write codePost data. The codePost API enables Princeton to connect codePost with a custom autograding environment and programmatically comment on student work according to test output. This workshop seeks to show participants one possible way of providing human feedback, which mostly scales. We will do so in two concrete steps: First, introduce participants to workflows achievable using the codePost GUI. Second, introduce the codePost API and provide tips for writing custom scripts to unlock pedagogical use cases.</p>",E145
0,,3/13/2020,7:00 PM - 10:00 PM,Friday Workshops,,,
301,765,3/13/2020,Kalpathi Subramanian; Erik Saule; Jamie Payton,"Bringing Real-World Data, Interactive Games and Visualizations Into Early CS courses Using BRIDGES","<p>Are you looking for ways to spice up your CS1, CS2, Data Structures, or Algorithm course? Come to our BRIDGES training workshop at SIGCSE 2020! BRIDGES provides an infrastructure that lets you easily bring in interesting real-world datasets into your course assignments and allows your students build simple games, create data structures visualizations, and assess algorithm performance. See the examples at <a href=""http://bridgesuncc.github.io/"">http://bridgesuncc.github.io/</a> Bring a laptop!</p>","<p>This workshop provides instructors with a hands-on introduction to BRIDGES, a software infrastructure for programming assignments in early computer science courses, including introductory programming (CS1, CS2), data structures, and algorithm analysis. BRIDGES provides capabilities for creating more engaging programming assignments, including: (1) a simplified API for accessing real-world data sets, including from social networks; scien- tific, government, and civic organizations; and movie, music, and literature collections; (2) interesting visualizations of the data, (3) an easy to use API that supports creation of games that leverage real-world data, and, (4) algorithm benchmarking. Workshop attendees will engage in hands-on experience with BRIDGES with multiple datasets and will have the opportunity to discuss how BRIDGES can be used in their own courses.</p>",C120
302,756,3/13/2020,Darina Dicheva; Keith Irwin; Austin Hodge; Christo Dichev; Lillian Cassel,Gamifying Computer Science Courses with OneUp Learning,"<p>Are you looking for new ways to better engage and motivate your students? Do you want to try making your Computer Science course more attractive? We can help! </p>
<p>Come and see what the OneUp course gamification platform offers!
You will learn how you can gamify your own classes and will get hands-on practice with using OneUp. 
Please bring your own laptop with WiFi access and the Chrome web browser, so that you can connect to OneUp. One night of lodging and workshop registration fees will be covered by an NSF grant for the first 15 registered participants.</p>
<p>Equipment Required. Participants must bring a laptop to equipment.</p>","<p>The low performance and drop-outs in Computer Science classes are frequently attributed to lack of engagement and motivation. Meanwhile, gamification increasingly attracts the interest of educators due to its potential to foster motivation and behavioral changes in learning contexts. This workshop introduces participants to the concept of gamification and the use of OneUp Learning, a platform aimed at gamifying academic courses. OneUp is aimed at encouraging students' out-of-class practicing and increasing their overall engagement in the course through employing game design elements. The platform is course-independent and highly configurable, allowing the instructor to turn on and off a number of gamification features, such as avatars, points (challenge and skill points), leaderboard, skills board, progress bar, content unlocking, goal-setting, badges, virtual currency, duels, chat, etc. For using OneUp, an instructor has to provide practice exercises and to specify the gamification elements to be used. Apart from the standard question types, OneUp supports Parson's problems and dynamic problems (e.g. programming problems). The workshop proceeds in two sessions. In the first session we introduce the OneUp platform and present our experience of gamifying CS courses. In the second, workshop attendees engage in hands-on experience: we show them how to use OneUp in their classes. In particular, we assist them to create problems and challenges, to configure desired gamification features, to define their own badges and rules for earning and spending virtual currency, and to monitor the engagement and progress of their students. Laptops required.</p>",C122
303,817,3/13/2020,Derek Runberg,CANCELLED <strike>Taking Weather Science Back Outdoors Using the micro:bit</strike>,"<p>Take weather science out of the classroom and allow students to participate in authentic, hands-on field studies on their school grounds! This workshop will be an expedition through classroom experiments that teachers can do with their students using the micro:bit and the SparkFun micro:climate kit to collect and analyze data. No prior experience necessary. Please bring a laptop or Chromebook with a USB port.</p>","<p>This workshop will be an expedition through classroom experiments that teachers can do with their students using the micro:bit and the SparkFun micro:climate kit to take weather science off the slide deck and out of the classroom to an authentic, hands-on field study on their own playground. These tools allow students to build their own instrumentation for participating in citizen science. When combined with activities designed to further student understanding, educators are able to equip students with the skills to develop questions and collect data to answer that question. Through the act of tinkering and the engineering design cycle, students will construct their own knowledge about weather and how it impacts their lives through collecting and analyzing data. Students will also develop an understanding of the atmospheric conditions around them, how to properly develop tests to receive accurate results and how to compare their results against others in their class.</p>",
304,834,3/13/2020,Shannon Duvall; Robert Duvall; Dugald Hutchings; Scott Spurlock,"Beyond the Flipped Classroom: Implementing Multiple, Simultaneous Pedagogical Styles Using Scrumage","<p>Agile methodologies claim to create effective, efficient, and happy workers by embracing a lightweight framework, autonomous teams, and rapid feedback cycles. The Scrumage (SCRUM for AGile Education) pedagogy style translates these values into the classroom. In Scrumage, students form autonomous learning cohorts and are encouraged to choose how they want to learn new material, what becomes ""homework"" versus ""classwork"", and how they spend class time. In this way, a single classroom can simultaneously facilitate game-based, flipped, and lecture-based learning. The professor becomes less of a manager and more of a learning coach. </p>
<p>This workshop will guide participants through the process of planning a course run in this unique manner, as well as give evidence for its success in courses at all levels of the curriculum. 
Laptops are optional, but participants should have access to a current course's syllabus and learning objectives to get the most out of the workshop.</p>

<p>Equipment Optional. It is not necessary for participants to bring equipment.</p>","<p>While the ""flipped classroom"" style has some educational benefits, there are also known benefits to other pedagogical approaches such as lectures, educational games, class discussions, and case studies. In addition to a wide variety of pedagogical approaches, there are a wide variety of computer science learning materials, including videos, interactive tutorials, e-textbooks and traditional textbooks. The choices of approach and materials present a series of trade-offs and may favor some groups of students over others. In this workshop, we present a methodology called Scrumage, (SCRUM for AGile Education) which allows each student in a course to adopt the pedagogical approach and materials that best fit each student's individual learning needs. Scrumage adapts concepts from the Scrum project management technique to manage student teams where the project is learning. Each team learns with the style they prefer, so that multiple pedagogical styles and materials are in use in the course simultaneously. Participants in this workshop will be introduced to the methodology, benefits, and tools of this approach and will work through guided steps to implementing it in the course of their choice.</p>",B110
305,75,3/13/2020,Leen-Kiat Soh; Markeya Peteranetz; Olga Glebova,"Adopting, Integrating, and Evaluating Computational Creativity Exercises and an Experience Report","<p>The intended audience for this workshop includes all CS educators (K-12 and post-secondary) who are interested in improving their student's learning and performance of CS concepts and computational thinking, as well as problem solving through creative thinking. The workshop and its resources will also help instructors better engage their students and serve as ideas to expand their resources to complement their teaching practices.
We will have hands-on activities working on one of the Computational Creativity exercises, and will also have an experience report on adopting the exercises at a different site not at the original site where the exercises were developed.
Participants should expert to learn about how to combine computational thinking and creative thinking; how to design meaningful and engaging exercises combining the two paradigms; be exposed to research design and the available research instruments that have been validated; how to adapt and implement the suite of Computational Creativity Exercises; and how to motivate their course design with findings regarding these exercises.
The workshop will reimburse the first 15 registered workshop participants one night of accommodation and workshop registration fee after the workshop. The workshop will also share a set of resources (Computational Creativity Exercises, Research Papers, Implementation Tips, and Research Instruments) with the participants.</p>
<p>Equipment Required. Participants must bring a laptop to equipment.</p>","<p>In this workshop, participants will learn about how to integrate computational thinking and creative thinking activities that have been shown to significantly improve student learning and performance in their classes via rigorous research investigations. In particular, participants will be familiarized with the suite of Computational Creativity Exercises (CCEs) (which are non-programming-based, group-based, active learning exercises), practice hands-on how to complete such an CCE, learn about how to integrate and adapt them into their courses, and be exposed to the educational research studies behind the development, design, and administration of these CCEs. Participants will also learn how to conduct evidence-based educational research studies. Workshop sessions will include presentations, panel-based Q&A, an experience report, breakout group discussions, and hands-on activities.</p>",B112
306,831,3/13/2020,Todd Sproull; Bill Siever,Going Native with Your Web Dev Skills: An Introduction to React Native for Mobile App Development,"<p>Do you already know JavaScript and want to create cross-platform native iOS and Android apps? Learning React Native, one of the most popular web framworks to develop native iOS and Android apps, will teach you an exciting new way to develop mobile applications using the power of the JavaScript library React.  This workshop will walk you through a brief introduction of the framework and help you build your first React Native through the hands-on demonstrations during the workshop. Attendees will also receive classroom-ready assignments using React Native.  Utilizing your existing JavaScript knowledge this workshop will teach you how to create cross-platform iOS and Android apps with React Native. Equipment Required. Participants must bring a laptop to equipment.</p>","<p>This workshop will show how web development skills can be used to develop native mobile apps (iOS, Android, and Web) via React Native, an open-source framework developed by Facebook. React Native extends the popular React web framework with support for truly native mobile apps. After completing the workshop participants will have a classroom-ready assignment to share with their students.
In Part I we will explore the basic concepts of React, which participants will use to build a website. In Part II we will discuss the ""native"" features added by React Native and extend the example into a mobile device friendly version incorporating mobile-specific concepts, such as Touch Events. In Part III we will introduce more advanced React Native topics, including debugging techniques and deployment to actual iOS/Android devices.
This workshop requires a laptop. Deployment of code to an actual device is optional but requires either an Android or iOS Device. Prior to the workshop participants will be given instructions for both software installation (required) and mobile device configuration (optional).</p>",B113
307,129,3/13/2020,Ahmed Ibrahim,Building and hacking an exploitable WiFi environment for your classroom,"<p>In this workshop, you will learn (1) how to build an exploitable WiFi environment for your classroom, (2) how Raspberry Pis can be used to act as the necessary clients for your access points, and (3) how to hack such access points. You will also have access to all of the Raspberry Pi scripts and access point configuration directions.  Then, you will get a chance to hack up to four WEP access points as well as a WPA2 access point.  Note: Participants must have a laptop with VirtualBox installed and an available USB port.  Before the workshop, you will be provided a link to download and import a tested Kali VM to participate in the hands-on hacking activity.</p><p>Equipment Required.  Participants must bring a laptop or equipment.</p>","<p>With the widespread of WiFi nowadays, it is important to show students how WiFi access points can be exploited in practice. The theory behind exploiting WEP and WPA2 has been available for a number of years. However, it has not been easy to offer students the opportunity to apply these theories in a real environment. In this workshop, you will learn how to build and configure WiFi access points for your students to hack. You will learn how Raspberry Pis can be used to act as the necessary clients for those access points and you will have access to the Raspberry Pi scripts and all access point configuration directions. Then, we will discuss the different hacking scenarios where WEP access points have connected clients versus no connected clients. In addition, you will get a chance to hack up to four WEP access points in addition to a WPA2 access point. Note: Participants must have a laptop with VirtualBox (version 5.1.28 recommended) installed and an available USB port.</p>",B115
308,820,3/13/2020,Manuel P&eacute;  rez Qui&ntilde;  ones,How to become fluent in diversity in one evening,"<p>This workshop is intended for CS educators, researchers and graduate students who want to be more comfortable talking about diversity. Are you overwhelmed with the language used in diversity conversations? Come learn about under-representation, minorities, under-served, privilege, stereotype threat, micro-aggression, fragility, anti-racism, equality, equity, inclusion, gender fluid, sexual identity vs. expression vs. gender, Latino vs. Hispanic, person of color...</p>","<p>The computing discipline is struggling to diversify its ranks. While we recognize the value of a diverse workforce, we often lack the language to discuss and even justify it. This workshop presents the language and framework with which to talk about diversity. The participants will get to have a candid conversation about different themes in diversity, often from a multi- disciplinary perspective and examine popular misconceptions on the topic. Of particular interest to computing professionals will be the presentation of research relevant to our discipline supporting the case of diversity.</p>",D133
309,856,3/13/2020,David Malan; Chad Sharp; Jelle van Assema; Brian Yu,CS50's GitHub-Based Tools for Teaching and Learning,"<p>A hands-on introduction to CS50's free and open-source tools for teaching and learning that you can adopt or adapt for your own classroom, including: help50, which helps students understand error messages; check50, via which teachers (and students) can test the correctness of code; style50, which provides students with feedback on their code's style; submit50, via which students can submit work; and compare50, an open-source and extensible alternative to Moss for comparing submissions for plagiarism. This workshop is free thanks to support from GitHub. To attend, register as usual, and GitHub will reimburse you via PayPal or (if you provide an I9 form) check.</p>","<p>For CS50 at Harvard, we have developed a suite of free, open-source tools to help students with writing, testing, and submitting programming assignments; and to help teachers grade those assignments and check them for plagiarism. help50, a program that parses error messages and provides beginner-friendly advice to interpreting them, helps students understand and resolve often-cryptic compiler errors. check50 runs a set of automated tests on students' code, providing feedback and hints about where students have made errors. style50 lints students' code, highlighting places where it doesn't meet the course's style guide. submit50 allows students to submit assignments to a GitHub repository, without students needing to have knowledge of git or version control themselves. And compare50, an open-source and customizable alternative to Moss, allows teachers to analyze submissions for similarity, looking for pairs or clusters of submissions that might be the result of improper collaboration. The grading and submission tools require only a GitHub account to use, and can serve as free, extensible alternatives to tools like Codio, Gradescope, and Vocareum. In this workshop, we'll introduce each of the tools, and discuss how to use them for your own classroom. To date, each tool has been deployed to hundreds of students on campus and thousands online. Along the way, we'll discuss how to use the tools effectively, compare and contrast them with other options, identify how the tools have changed students' behavior for the better and for worse, and highlight pedagogical and technological changes we've made to redress the latter.</p>",D136
310,857,3/13/2020,Dan Garcia; Buffie Holley; Julia Bernd; Maritza Johnson,Teaching Cybersecurity in CSP (or Any CS Class): Introducing the Security Mindset,"<p>This interactive workshop will introduce the broad idea of cybersecurity through threat modeling and the human-centered nature of authentication. Participants will learn how to begin developing the ""security mindset"" in CS students at all levels. No previous cybersecurity experience is required! 
The Teaching Security lessons at teachingsecurity.org were designed to meet the cybersecurity learning objectives in the AP Computer Science Principles framework, but they are appropriate for any high school computer science class or program (including dedicated cybersecurity classes). Our lessons are prepared by subject-matter experts, and include many ""unplugged"" activities. In addition to model lessons, the workshop will provide opportunities for attendees who teach cybersecurity to share their own strategies. 
Cybersecurity is vital to a technology-driven society. Daily headlines about data breaches and ransomware attacks demonstrate that we can't ignore the security risks inherent to our highly networked lives. Cybersecurity is a growing job field -- and even for students that don't go on to pursue cybersecurity careers, it is crucial to have some level of security awareness! 
But until very recently, young people usually weren't introduced to the intrigue and opportunity of cybersecurity until advanced undergraduate CS courses. However, the real world implications and applied nature of the topic lends itself well to catching the interest of a diverse group of students in CS at a younger age.</p><p>See <a href=""https://teachingsecurity.org/sigcse-2020/"">https://teachingsecurity.org/sigcse-2020/</a> for more info.</p>
<p>Equipment Optional. It is not necessary for participants to bring equipment.</p>","<p>Cybersecurity is vital to a technology-driven society. Daily headlines demonstrate that we cannot ignore the potential security risks inherent to our increasingly more networked lives. Cybersecurity is a growing job field --but even for students that don't go on to pursue cybersecurity careers, it is crucial to have some level of security awareness! But until very recently, young people were usually not introduced to the intrigue and opportunity of cybersecurity until advanced undergraduate CS courses. However, the real world implications and applied nature of the topic lends itself well to engaging a wide audience, key to catching the interest of a diverse group of students in CS at a younger age.</p>
<p>We have developed a series of lessons that introduce the broad idea of cybersecurity through threat modeling and the human-centered nature of authentication. They were prepared by subject-matter experts with research backgrounds in the technical workings and social implications of cybersecurity. While our lessons were specifically designed to meet the cybersecurity learning objectives in the AP Computer Science Principles framework, they are appropriate for any high school computer science class.</p>
<p>This will be an interactive workshop for CS educators at all levels; no previous cybersecurity experience required. (Laptops also optional.) Participants will learn how to begin developing the ""security mindset"" by teaching students a simplified version of threat modeling. We will also preview lessons on authentication and social engineering. In addition, the workshop will provide opportunities for attendees who teach cybersecurity learning objectives to share their own strategies.</p>",E145
