*Date,*Time Start,*Time End,Tracks,*Session Title,Room/Location,Description,Speakers,Type
3/11/2020,8:30 AM,5:00 PM,Pre-Symposium,"New Educators Wednesday Roundtable, NEWR 2020",B115,"<p>A successful career as a college or university computer science educator involves more than a deep understanding of a research area. Yet many new CS educators experience relatively little
educator training - and face more questions than answers, e.g., What career-path choices do CS educators pursue? How do I find an institution or career path that is right for me? How can I balance teaching, research, service, and a life beyond all those things? What are the balancing acts involved in working effectively with colleagues and managing the advancement and tenure process? What tips could help me organize a course, scaffold engaging experiences, and build lasting relationships with students? The New Educators Wednesday Roundtable is designed to assist aspiring and early-career educators in exploring the non-research facets of an academic career. Experienced faculty from a variety of career paths and institution types will share their experiences and best practices. Through small-group discussions attendees will focus on questions and concerns relevant to their situations -- and will widen their cohort of colleagues at similar stages of their career.</p><p>Application and more details are available at: <a href=""https://www.cs.hmc.edu/~zdodds/NEWR2020/"">https://www.cs.hmc.edu/~zdodds/NEWR2020/</a>.</p>",Zachary Dodds; Diane Horton,ALLDAY
3/11/2020,8:30 AM,5:00 PM,Pre-Symposium,Programming Quantum Computers: Tools and Techniques for the Undergraduate CSCI Faculty,E145,"<p>As quantum computers are poised to kick-start a new computer revolution the fact remains that for more than twenty years almost every popular article that's ever been written on the subject has taken an easy way out, and has described quantum computers in ways that sound cool but are not very accurate. While everybody correctly recognizes the importance of quantum computers for the future of science and technology, the topic actually remains one of the most misrepresented in science. The purpose of this full day event is to correct that and to offer educators (in a hands-on environment) a very concrete set of tools, techniques and materials that would enable them to bring the core aspects of quantum computation to the classroom. To this end we have partnered with O'Reilly Media and will be featuring their new book entitled ""Programming Quantum Computers"" written by Eric R (""EJ"") Johnston, with co-authors Nic Harrigan and Mercedes Gimeno-Segovia. So far it has been hard to anticipate exactly how quantum computers could be used because quantum computing represents such a new way of processing information, but we have reached a very significant point where devices have sufficient power and are so readily available (to virtually anyone) in the cloud that it's imperative to start teaching this technology to raise a new generation of scientists ready to develop it further.</p>
 
<p>More details available at: <a href=""https://cs.indiana.edu/~dgerman/quantum-computing-for-undergrads/sigcse2020.html"">https://cs.indiana.edu/~dgerman/quantum-computing-for-undergrads/sigcse2020.html</a>.</p>",Amr Sabry; Gerardo Ortiz; Eric R Johnston; Jim Weaver,ALLDAY
3/11/2020,8:30 AM,12:00 PM,Title,Morning Pre-Symposium Events,,,,
3/11/2020,8:30 AM,12:00 PM,Pre-Symposium,An Assessments Hub and Community of Practice for K-12 Computer Science,C122,"<p>The workshop organizers have recently been awarded an NSF grant (CNS 1943530) to build and grow a Community of Practice (CoP) for K-12 CS teachers centered on a shared need for rich, innovative formative assessments, and leverage a technology hub (Edfinity.com) to aggregate, curate, and create assessments organized by CSTA K-12 CS standards, grade, concept/topic, curriculum, and other relevant criteria for intuitive use by teachers of all experience levels. The goals of the workshop will be to (a) build capacity in understanding the how/when/why of the use of formative classroom assessment among the K-12 CS educator community, (b) share (and get feedback on) the foundational work done by the team of researchers and teachers on the project to create taxonomies by which to organize the assessments, and identify coverage and gaps; and (c) recruit interested teachers and researchers at the workshops to join in activities related to reviewing, sharing, creating, curating, and tagging assessments on Edfinity (i.e. grow the CoP).</p><p>More information available at: <a href=""http://csassess.org"">http://csassess.org</a>.</p>",Bryan Twarek; Shuchi Grover; Kelly Powers; Sangeeta Bhatnagar,MORNING
3/11/2020,8:30 AM,12:00 PM,Pre-Symposium,Sculpting Accreditation Criteria for Data Science - a Working Session,B112,"<p>The data science field has experienced unprecedented growth over the past few years, as organizations across the globe continue to ramp up the hiring of qualified personnel. Given this employer demand for data science graduates, several institutions have created their own versions of data science programs at the bachelor's and master's levels. Entities such as the ACM, NSF and the National Academies have attempted to define curriculum for baccalaureate data science programs to begin the development of a shared understanding of the data science discipline, which is critical for employers, institutions and students alike.</p>
 
<p>To further develop this shared understanding, a task force representing diverse constituents has been exploring the possible accreditation criteria for data science programs for the past year. This hands-on working session will allow attendees to participate and contribute to this effort. This interactive session will include: (1) a review of the project objectives and work to date, (2) an analysis of vital stakeholders and project scope, (3) a detailed timeline of key deliverables, (4) a presentation of the committee's strawdog data science program criteria, (5) a working session for attendees to review and refine strawdog data science criteria, and (6) identification of programs potentially interested in data science accreditation.</p>
 
<p>There is no charge for this working session, but registration is required. Space is limited. Registrations will be honored on a first-come-first-served basis.
Please register at <a href=""http://events.constantcontact.com/register/event?llr=lttbtyiab&oeidk=a07egqgtgpdb83326f9"">http://events.constantcontact.com/register/event?llr=lttbtyiab&oeidk=a07egqgtgpdb83326f9</a>.</p> 
 
<p>If you have any questions, please contact Liz Glazer at lglazer@csab.org.</p>",Allen Parrish; Larry Jones; Paul Leidig; Rajendra Raj,MORNING
3/11/2020,8:30 AM,12:00 PM,Pre-Symposium,Computer Science Principles Providers and Teachers Forum,B118,"<p>To accompany the launch of the AP Computer Science Principles course in 2016, the College Board has sought providers to develop AP CSP curriculum and provide professional development. Over a half dozen experienced organizations and academic institutions have jumped in to meet this need, including the Beauty and Joy of Computing, Bootstrap, UTeach Computer Science, Exploring Computer Science, and Mobile CSP. Two years have passed since the initial offerings of professional development opportunities under the 2016 CSTA Computer Science For All Community Giving initiative, but year-after-year, there has been no community for all providers or teachers to discuss best practices, feedback, or share teaching experiences. The CSP Providers and Teachers Forum aims to increase collaboration and discussion among College Board endorsed providers and teachers by offering an agenda that can include sharing successes and failures of professional development, reviewing common teaching issues providers and teachers encounter, discussing strategies for teacher recruitment and keeping in touch with teachers, and preparing for and reading results of the AP CS Principles exam.</p><p>More information may be found at: <a href=""http://bjc.berkeley.edu/sigcse-csp-forum"">http://bjc.berkeley.edu/sigcse-csp-forum</a>.</p>",Zachary Dodds; Diane Horton,MORNING
3/11/2020,1:30 PM,5:00 PM,Title,Afternoon Pre-Symposium Events,,,,
3/11/2020,1:30 PM,5:00 PM,Pre-Symposium,Building Autograders and Efficient Assessment with Gradescope,C122,"<p>Autograders are a critical component of the assessment process for the vast majority of computer science courses. They serve as vital tools for providing timely and accurate feedback, as well as aids for managing grading workloads in large courses. This pre-symposium event is a mini-conference that will explore the myriad ways that instructors can build autograders using Gradescope, an online feedback and assessment platform that helps instructors provide scalable, personalized feedback while saving time. Presenters will share their favorite strategies for autograding student work, as well as sample open source projects that can be used as building blocks for new assignments. The aim is not only to share the technical details, but to explore how autograders can be used in concert with human-in-the-loop grading strategies to promote effective pedagogy. While the technical details of these presentations will feature the Gradescope platform, the tools and techniques will be applicable for any instructors building and using autograding in their courses.</p><p>More information available at: <a href=""https://www.gradescope.com/sigcse2020"">https://www.gradescope.com/sigcse2020</a>.</p>",Philip Conrad; Michael Ball; Arjun Singh,AFTERNOON
3/11/2020,1:30 PM,5:00 PM,Pre-Symposium,"Liberal Arts Computing Curricula: Innovations, Challenges, and Opportunities",B112,"<p>Organized by members of the SIGCSE Committee on Computing Education in Liberal Arts Colleges, this pre-Symposium event will let us share and learn about curricular innovations, challenges, and opportunities particular to our liberal arts settings.
Curricular models and suggestions for discussion topics related to challenges and opportunities will be solicited prior to the event. Curricula that represent a breadth of approaches, potential for broader adoption/adaptation, and potential for broadening participation in computing will be selected for presentation to the group. These presentations will be followed by breakout discussions of participants' local curricula. Later breakout discussions will focus on the challenges and opportunities presented by teaching computing in a liberal arts setting, as suggested by the community prior to the event.</p>
<p>All submitted curricular models and discussion topics will be collected and shared with the broader liberal arts computing community through a public repository maintained by the Committee. Participants will be invited to contribute to the preparation of a report on the event to be submitted to a peer reviewed venue for broader dissemination.</p>
<p>The event will conclude with a short business meeting where participants will help identify and define opportunities for the Committee to further support the liberal arts computing education community. Optional dinner groups will provide a venue for further networking.</p>
<p>All interested faculty and students are welcome.</p>",Grant Braught; Janet Davis,AFTERNOON
3/11/2020,1:30 PM,5:00 PM,Pre-Symposium,Developing Department Plans for Broadening Participation in Computing for NSF Grants,B118,"<p>In the USA, the National Science Foundation (NSF) Directorate for Computer and Information Science and Engineering (CISE) is rolling out a requirement that many NSF grants include a Broadening Participation in Computing (BPC) plan (www.nsf.gov/cise/bpc/). This workshop will provide attendees the opportunity to learn about the new requirement, review example individual and department BPC plans, and develop a draft BPC plan for an individual grant proposal or for the department. Bringing the community to work towards BPC has the potential to drive important institutional change across computing departments in the USA. Faculty who attend this session will be a resource for their department.</p><p>Registration and more information available at: <a href=""http://tinyurl.com/SIGCSE2020BPCplans"">http://tinyurl.com/SIGCSE2020BPCplans</a>.</p>",Colleen Lewis; Mary Hall; Nancy Amato; Sherri Sanders; Tracy Camp; Bur&ccedil;in Tamer,AFTERNOON
3/11/2020,1:30 PM,5:00 PM,Pre-Symposium,Integrating Ethics and Social Responsibility in Computing Curricula Symposium,D136,"<p>Ethics and social responsibility has existed in computer science curricula for decades, and have become even more critical in recent years due to the many ways technology affects individuals and societies. This symposium aims to bring together those who are interested in integrating ethics and social responsibility into Computer Science curricula. The attendees will observe current lessons, and then discuss in breakout groups. The symposium will cover strategies for teaching ethics and how to incorporate ethics at multiple points throughout a computing curriculum. It also aims to build new collaborations across fields and across institutions, critical for doing this work.</p><p>Ethics and social responsibility has existed in computer science curricula for decades, and have become even more critical in recent years due to the many ways technology affects individuals and societies. This symposium aims to bring together those who are interested in integrating ethics and social responsibility into Computer Science curricula. The attendees will observe current lessons, and then discuss in breakout groups. The symposium will cover strategies for teaching ethics and how to incorporate ethics at multiple points throughout a computing curriculum. It also aims to build new collaborations across fields and across institutions, critical for doing this work.</p>
<p>During this Integration Ethics in Computing Symposium, awardees from the Responsible Computer Science Challenge will showcase their lessons. The presenting educators were awarded grants for developing novel ways to integrate ethics into undergraduate computer science education. Learn more about the Challenge and awardees at <a href=""http://responsiblecs.org"">http://responsiblecs.org</a>, and sign up for the symposium here.</p>
<p><a href=""https://forms.gle/noWovToCbBCA1rvB7"">URL Sign Up link</a>.</p><p>Presenting educators:</p>
<p><b>Miami Dade College, George Gabb</b></p>
<p>The college will integrate social impact projects and collaborations with local nonprofits and government agencies into the computer science curriculum. Computer science syllabi will also be updated to include ethics exercises and assignments.</p> <p><b>Santa Clara University, Sukanya Manna</b></p>
<p>This initiative will help CS students develop a deliberative ethical analysis framework that complements their technical learning. It will develop software engineering ethics, cybersecurity ethics, and data ethics modules, with integration of case studies and projects. These modules will also be adapted into free MOOC materials, so other institutions worldwide can benefit from the curriculum.</p> <p><b>University at Buffalo, Atri Rudra</b></p>
<p>In this initiative, freshmen studying computer science will discuss ethics in the first-year seminar ""How the internet works."" Sophomores will study responsible algorithmic development for real-world problems. Juniors will study the ethical implications of machine learning. And seniors will incorporate ethical thinking into their capstone course.</p> <p><b>University of Maryland, Baltimore County, Helena Mentis</b></p>
<p>This initiative uses three avenues to integrate ethics into the computer science curriculum: peer discussions on how technologies might affect different populations; negative implications evaluations, i.e. ""red teams"" that probe the potential negative societal impacts of students' projects; and a training program to equip teaching assistants with ethics and equality literacy.</p>",Kathy Pham; Jenn Beard,AFTERNOON
